Class,Total Points,Strength,Dexterity,Intelligence,Vigor,Constitution,Height,Value
mage,146,73,73,0,0,0,1.920000,52.920170
warrior,147,73,74,0,0,0,1.920000,40.077420
archer,147,73,74,0,0,0,1.920000,60.116130
guardian,147,0,0,0,74,73,1.300000,56.592439
mage,147,73,74,0,0,0,1.920000,53.436560
warrior,148,74,74,0,0,0,1.920000,40.468492
archer,148,74,74,0,0,0,1.920000,60.702737
guardian,148,0,0,0,74,74,1.300000,57.144662
mage,148,74,74,0,0,0,1.920000,53.957989
warrior,149,74,75,0,0,0,1.920000,40.854673
archer,149,74,75,0,0,0,1.920000,61.282010
guardian,149,0,0,0,74,75,1.300000,57.689981
mage,149,74,75,0,0,0,1.920000,54.472898
warrior,150,75,75,0,0,0,1.920000,41.244540
archer,150,75,75,0,0,0,1.920000,61.866810
guardian,150,0,0,0,75,75,1.300000,58.240503
mage,150,75,75,0,0,0,1.920000,54.992720
warrior,151,75,75,1,0,0,1.920000,41.634148
archer,151,75,75,1,0,0,1.920000,62.451222
guardian,151,0,0,1,75,75,1.300000,58.790660
mage,151,75,75,1,0,0,1.920000,55.512197
warrior,152,75,75,2,0,0,1.920000,42.023678
archer,152,75,75,2,0,0,1.920000,63.035517
guardian,152,0,0,2,75,75,1.300000,59.340707
mage,152,75,75,2,0,0,1.920000,56.031571
warrior,153,76,75,2,0,0,1.920000,42.415896
archer,153,76,75,2,0,0,1.920000,63.623844
guardian,153,0,0,2,75,76,1.300000,59.894549
mage,153,76,75,2,0,0,1.920000,56.554528
warrior,154,76,75,3,0,0,1.920000,42.808904
archer,154,76,75,3,0,0,1.920000,64.213356
guardian,154,0,0,3,75,76,1.300000,60.449507
mage,154,76,75,3,0,0,1.920000,57.078539
warrior,155,76,75,4,0,0,1.920000,43.201677
archer,155,76,75,4,0,0,1.920000,64.802515
guardian,155,0,0,4,75,76,1.300000,61.004133
mage,155,76,75,4,0,0,1.920000,57.602236
warrior,156,77,75,4,0,0,1.920000,43.596071
archer,156,77,75,4,0,0,1.920000,65.394107
guardian,156,0,0,4,75,77,1.300000,61.561049
mage,156,77,75,4,0,0,1.920000,58.128095
