strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age
51,40,39,31,37,1.35,warrior,30.630927543929612,5
52,39,38,31,38,1.35,warrior,30.61878053462092,2
51,39,39,31,38,1.35,warrior,30.550720215941453,4
51,40,38,32,37,1.35,warrior,30.51396930876227,6
51,39,38,32,38,1.35,warrior,30.435434470697118,3
51,41,34,31,41,1.35,warrior,30.38345025417312,7
50,40,38,33,37,1.35,warrior,30.31736819630914,9
50,40,38,33,37,1.35,warrior,30.31736819630914,8
50,40,38,33,37,1.35,warrior,30.31736819630914,7
53,38,39,30,38,1.4,warrior,32.36964895139026,1
52,42,34,31,39,1.4,warrior,32.224237723300604,1
53,42,34,31,38,1.35,warrior,30.745272702069165,1
53,42,34,31,38,1.35,warrior,30.745272702069165,1
53,42,34,31,38,1.4,warrior,32.431469569768,3
53,38,39,30,38,1.4,warrior,32.36964895139026,2
52,42,34,31,39,1.4,warrior,32.224237723300604,2
51,39,39,31,38,1.4,warrior,32.08454743401664,4
53,42,34,31,38,1.35,warrior,30.745272702069165,5
53,42,34,31,38,1.35,warrior,30.745272702069165,4
53,42,34,31,38,1.35,warrior,30.745272702069165,2
53,42,34,31,38,1.35,warrior,30.745272702069165,2
52,40,38,31,37,1.35,warrior,30.706274033022048,5
52,43,34,31,38,1.35,warrior,30.703612124113643,3
51,41,38,31,37,1.35,warrior,30.658654866083523,4
51,40,39,31,37,1.35,warrior,30.630927543929612,6
52,39,38,31,38,1.35,warrior,30.61878053462092,3
51,39,39,31,38,1.35,warrior,30.550720215941453,5
51,40,38,32,37,1.35,warrior,30.51396930876227,7
51,39,38,32,38,1.35,warrior,30.435434470697118,4
53,42,34,31,38,1.4,warrior,32.431469569768,1
53,38,39,30,38,1.4,warrior,32.36964895139026,1
50,41,39,31,37,1.4,warrior,32.168933768322766,1
52,39,36,32,39,1.4,warrior,31.925395299648226,1
53,42,34,31,38,1.4,warrior,32.431469569768,4
53,42,34,31,38,1.4,warrior,32.431469569768,2
53,38,39,30,38,1.4,warrior,32.36964895139026,3
53,38,39,30,38,1.4,warrior,32.36964895139026,2
52,42,34,31,39,1.4,warrior,32.224237723300604,3
50,41,39,31,37,1.4,warrior,32.168933768322766,2
51,39,39,31,38,1.4,warrior,32.08454743401664,5
52,39,36,32,39,1.4,warrior,31.925395299648226,2
53,42,34,31,38,1.35,warrior,30.745272702069165,6
53,42,34,31,38,1.35,warrior,30.745272702069165,5
53,42,34,31,38,1.35,warrior,30.745272702069165,3
53,42,34,31,38,1.35,warrior,30.745272702069165,3
52,40,38,31,37,1.35,warrior,30.706274033022048,6
52,43,34,31,38,1.35,warrior,30.703612124113643,4
