strength,dexterity,intelligence,vigor,constitution,height,fitness,generation,selection_rate
90,80,28,0,0,1.94,60.133702521722206,10000,12
90,80,28,0,0,1.94,60.133702521722206,10000,12
90,80,28,0,0,1.94,60.133702521722206,10000,12
90,80,28,0,0,1.94,60.133702521722206,10000,12
90,80,28,0,0,1.94,60.133702521722206,10000,12
90,80,28,0,0,1.94,60.133702521722206,10000,12
90,80,28,0,0,1.94,60.133702521722206,10000,12
90,80,28,0,0,1.94,60.133702521722206,10000,12
90,80,28,0,0,1.94,60.133702521722206,10000,12
90,80,28,0,0,1.94,60.133702521722206,10000,12
104,93,0,1,0,1.94,57.637163477289036,10000,12
90,80,28,0,0,1.94,60.133702521722206,10000,12
90,80,28,0,0,1.92,60.62109667083437,10000,13
90,80,28,0,0,1.92,60.62109667083437,10000,13
90,80,28,0,0,1.92,60.62109667083437,10000,13
90,80,28,0,0,1.92,60.62109667083437,10000,13
90,80,28,0,0,1.92,60.62109667083437,10000,13
90,80,28,0,0,1.92,60.62109667083437,10000,13
90,80,28,0,0,1.92,60.62109667083437,10000,13
90,80,28,0,0,1.92,60.62109667083437,10000,13
90,80,28,0,0,1.92,60.62109667083437,10000,13
90,80,28,0,0,1.92,60.62109667083437,10000,13
90,80,28,0,0,1.92,60.62109667083437,10000,13
90,80,28,0,0,1.92,60.62109667083437,10000,13
90,80,28,0,0,1.92,60.62109667083437,10000,13
90,80,28,0,0,1.92,60.62109667083437,10000,13
90,80,28,0,0,1.92,60.62109667083437,10000,13
90,80,28,0,0,1.92,60.62109667083437,10000,13
90,80,28,0,0,1.92,60.62109667083437,10000,13
90,80,28,0,0,1.92,60.62109667083437,10000,13
90,80,28,0,0,1.92,60.62109667083437,10000,13
89,80,27,1,1,1.92,59.85461808550979,10000,13
90,80,28,0,0,1.76,51.665680998832336,10000,14
90,80,28,0,0,1.76,51.665680998832336,10000,14
90,80,28,0,0,1.76,51.665680998832336,10000,14
90,80,28,0,0,1.76,51.665680998832336,10000,14
90,80,28,0,0,1.76,51.665680998832336,10000,14
90,80,28,0,0,1.76,51.665680998832336,10000,14
90,80,28,0,0,1.76,51.665680998832336,10000,14
90,80,28,0,0,1.76,51.665680998832336,10000,14
90,80,28,0,0,1.76,51.665680998832336,10000,14
90,80,28,0,0,1.76,51.665680998832336,10000,14
90,80,28,0,0,1.76,51.665680998832336,10000,14
90,80,28,0,0,1.76,51.665680998832336,10000,14
90,80,28,0,0,1.76,51.665680998832336,10000,14
90,80,28,0,0,1.76,51.665680998832336,10000,14
90,80,28,0,0,1.76,51.665680998832336,10000,14
90,80,28,0,0,1.76,51.665680998832336,10000,14
90,80,28,0,0,1.76,51.665680998832336,10000,14
90,80,28,0,0,1.76,51.665680998832336,10000,14
104,93,0,0,1,1.76,49.520704314181664,10000,14
90,80,28,0,0,1.76,51.665680998832336,10000,14
90,80,28,0,0,1.87,59.36395240373773,10000,15
90,80,28,0,0,1.87,59.36395240373773,10000,15
90,80,28,0,0,1.87,59.36395240373773,10000,15
90,80,28,0,0,1.87,59.36395240373773,10000,15
90,80,28,0,0,1.87,59.36395240373773,10000,15
90,80,28,0,0,1.87,59.36395240373773,10000,15
90,80,28,0,0,1.87,59.36395240373773,10000,15
90,80,28,0,0,1.87,59.36395240373773,10000,15
90,80,28,0,0,1.87,59.36395240373773,10000,15
90,80,28,0,0,1.87,59.36395240373773,10000,15
90,80,28,0,0,1.87,59.36395240373773,10000,15
90,80,28,0,0,1.87,59.36395240373773,10000,15
90,80,28,0,0,1.87,59.36395240373773,10000,15
90,80,28,0,0,1.87,59.36395240373773,10000,15
90,80,28,0,0,1.87,59.36395240373773,10000,15
