strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age
52,43,51,15,37,1.35,warrior,32.426424757502474,3
53,43,53,13,36,1.33,warrior,31.087465984831677,4
54,43,50,14,37,1.52,warrior,34.982329560080615,1
56,35,54,15,38,1.52,warrior,34.27794226291153,1
54,43,50,14,37,1.35,warrior,32.79340225605077,1
54,43,50,14,37,1.35,warrior,32.79340225605077,1
54,43,50,14,37,1.52,warrior,34.982329560080615,4
54,43,50,14,37,1.52,warrior,34.982329560080615,3
54,43,50,14,37,1.52,warrior,34.982329560080615,2
56,35,54,15,38,1.52,warrior,34.27794226291153,2
54,43,50,14,37,1.35,warrior,32.79340225605077,8
54,43,50,14,37,1.35,warrior,32.79340225605077,3
54,43,50,14,37,1.35,warrior,32.79340225605077,2
54,43,50,14,37,1.35,warrior,32.79340225605077,2
53,42,53,14,36,1.35,warrior,32.66229929233716,6
53,42,53,14,36,1.35,warrior,32.66229929233716,4
53,42,53,14,36,1.35,warrior,32.66229929233716,3
54,41,52,15,36,1.35,warrior,32.65939396489651,3
53,43,50,15,37,1.35,warrior,32.57144790891109,4
52,44,51,14,37,1.35,warrior,32.556198589549034,5
52,43,51,14,38,1.35,warrior,32.43648695592682,6
53,42,50,16,37,1.35,warrior,32.43382773926697,5
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,42,49,15,38,1.52,warrior,34.6690670291113,1
55,35,54,17,37,1.52,warrior,34.0085694943907,1
54,43,50,14,37,1.52,warrior,34.982329560080615,5
54,43,50,14,37,1.52,warrior,34.982329560080615,4
54,43,50,14,37,1.52,warrior,34.982329560080615,3
54,43,50,14,37,1.52,warrior,34.982329560080615,2
54,43,50,14,37,1.52,warrior,34.982329560080615,2
54,42,49,15,38,1.52,warrior,34.6690670291113,2
56,35,54,15,38,1.52,warrior,34.27794226291153,3
55,35,54,17,37,1.52,warrior,34.0085694943907,2
54,43,50,14,37,1.35,warrior,32.79340225605077,9
54,43,50,14,37,1.35,warrior,32.79340225605077,4
54,43,50,14,37,1.35,warrior,32.79340225605077,3
54,43,50,14,37,1.35,warrior,32.79340225605077,3
53,42,53,14,36,1.35,warrior,32.66229929233716,7
53,42,53,14,36,1.35,warrior,32.66229929233716,5
53,42,53,14,36,1.35,warrior,32.66229929233716,4
54,41,52,15,36,1.35,warrior,32.65939396489651,4
54,43,50,14,37,1.56,warrior,34.3504215735607,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,6
54,43,50,14,37,1.52,warrior,34.982329560080615,5
54,43,50,14,37,1.52,warrior,34.982329560080615,4
54,43,50,14,37,1.52,warrior,34.982329560080615,3
54,43,50,14,37,1.52,warrior,34.982329560080615,3
54,43,50,14,37,1.52,warrior,34.982329560080615,2
54,43,50,14,37,1.52,warrior,34.982329560080615,2
54,43,50,14,37,1.52,warrior,34.982329560080615,2
54,42,49,15,38,1.52,warrior,34.6690670291113,3
54,43,50,14,37,1.56,warrior,34.3504215735607,2
56,35,54,15,38,1.52,warrior,34.27794226291153,4
55,35,54,17,37,1.52,warrior,34.0085694943907,3
54,43,50,14,37,1.35,warrior,32.79340225605077,10
54,43,50,14,37,1.35,warrior,32.79340225605077,5
54,43,50,14,37,1.35,warrior,32.79340225605077,4
54,43,50,14,37,1.35,warrior,32.79340225605077,4
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,7
54,43,50,14,37,1.52,warrior,34.982329560080615,6
54,43,50,14,37,1.52,warrior,34.982329560080615,5
