strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age
59,49,37,1,52,1.89,warrior,39.300563238719185,7
121,0,74,2,1,1.88,warrior,32.00095747237087,2
48,40,30,38,42,1.88,warrior,31.962170155055624,7
106,89,0,2,1,1.88,warrior,56.4066084041924,1
84,62,51,0,1,1.88,warrior,57.74643110463118,1
112,85,0,1,0,1.88,warrior,56.31629682109512,1
1,111,84,1,1,1.88,warrior,1.3644987757336702,1
84,62,51,0,1,1.88,warrior,57.74643110463118,2
79,67,51,0,1,1.88,warrior,57.69209506574262,3
84,62,51,1,0,1.88,warrior,57.65415512163853,5
84,62,51,1,0,1.88,warrior,57.65415512163853,4
79,66,51,1,1,1.88,warrior,57.25577034682818,6
85,60,49,2,2,1.88,warrior,56.64794548829249,6
106,89,0,2,1,1.88,warrior,56.4066084041924,2
112,85,0,1,0,1.88,warrior,56.31629682109512,2
81,61,50,3,3,1.8828442553300824,warrior,55.90919617925277,4
115,79,0,3,1,1.88,warrior,54.341263918209656,3
84,62,51,1,0,1.3961446361663734,warrior,48.7781394429719,3
79,66,51,1,1,1.5943794738519288,warrior,45.745975629932104,5
110,86,0,1,1,1.5943794738519288,warrior,44.88297513377474,4
79,66,51,1,1,1.349892092569494,warrior,43.05117057430071,4
66,49,40,1,42,1.83,warrior,41.22669155437808,8
69,35,45,1,48,1.88,warrior,39.415535274598575,8
112,84,0,0,2,1.88,warrior,55.887618245424285,1
79,67,51,0,1,1.613912320356798,warrior,45.72922438456596,1
84,63,51,0,0,1.88,warrior,58.13334186715585,1
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,1
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,2
84,63,51,0,0,1.88,warrior,58.13334186715585,2
84,62,51,0,1,1.88,warrior,57.74643110463118,3
79,67,51,0,1,1.88,warrior,57.69209506574262,4
84,62,51,1,0,1.88,warrior,57.65415512163853,6
84,62,51,1,0,1.88,warrior,57.65415512163853,5
79,66,51,1,1,1.88,warrior,57.25577034682818,7
85,60,49,2,2,1.88,warrior,56.64794548829249,7
106,89,0,2,1,1.88,warrior,56.4066084041924,3
112,85,0,1,0,1.88,warrior,56.31629682109512,3
81,61,50,3,3,1.8828442553300824,warrior,55.90919617925277,5
112,84,0,0,2,1.88,warrior,55.887618245424285,2
115,79,0,3,1,1.88,warrior,54.341263918209656,4
84,62,51,1,0,1.3961446361663734,warrior,48.7781394429719,4
79,66,51,1,1,1.5943794738519288,warrior,45.745975629932104,6
79,67,51,0,1,1.613912320356798,warrior,45.72922438456596,2
121,1,75,1,0,1.88,warrior,33.019276529386424,1
84,62,50,1,1,1.8958856334780756,warrior,57.94558826765597,1
84,62,51,0,1,1.88,warrior,57.74643110463118,1
119,1,77,0,1,1.88,warrior,33.497963702596195,1
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,3
84,63,51,0,0,1.88,warrior,58.13334186715585,3
84,62,50,1,1,1.8958856334780756,warrior,57.94558826765597,2
84,62,51,0,1,1.88,warrior,57.74643110463118,4
84,62,51,0,1,1.88,warrior,57.74643110463118,2
79,67,51,0,1,1.88,warrior,57.69209506574262,5
84,62,51,1,0,1.88,warrior,57.65415512163853,7
84,62,51,1,0,1.88,warrior,57.65415512163853,6
79,66,51,1,1,1.88,warrior,57.25577034682818,8
85,60,49,2,2,1.88,warrior,56.64794548829249,8
106,89,0,2,1,1.88,warrior,56.4066084041924,4
112,85,0,1,0,1.88,warrior,56.31629682109512,4
81,61,50,3,3,1.8828442553300824,warrior,55.90919617925277,6
112,84,0,0,2,1.88,warrior,55.887618245424285,3
115,79,0,3,1,1.88,warrior,54.341263918209656,5
84,62,51,1,0,1.3961446361663734,warrior,48.7781394429719,5
84,62,52,0,0,1.6239533549324565,warrior,45.783339153773845,1
83,62,51,1,1,1.8958856334780756,warrior,57.82267577096436,1
84,62,51,1,0,1.88,warrior,57.65415512163853,1
111,82,0,2,3,1.8958856334780756,warrior,55.293719325203966,1
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,4
84,63,51,0,0,1.88,warrior,58.13334186715585,4
84,62,50,1,1,1.8958856334780756,warrior,57.94558826765597,3
83,62,51,1,1,1.8958856334780756,warrior,57.82267577096436,2
84,62,51,0,1,1.88,warrior,57.74643110463118,5
84,62,51,0,1,1.88,warrior,57.74643110463118,3
79,67,51,0,1,1.88,warrior,57.69209506574262,6
84,62,51,1,0,1.88,warrior,57.65415512163853,8
84,62,51,1,0,1.88,warrior,57.65415512163853,7
84,62,51,1,0,1.88,warrior,57.65415512163853,2
79,66,51,1,1,1.88,warrior,57.25577034682818,9
85,60,49,2,2,1.88,warrior,56.64794548829249,9
106,89,0,2,1,1.88,warrior,56.4066084041924,5
112,85,0,1,0,1.88,warrior,56.31629682109512,5
81,61,50,3,3,1.8828442553300824,warrior,55.90919617925277,7
112,84,0,0,2,1.88,warrior,55.887618245424285,4
84,61,51,1,1,1.88,warrior,57.26520587151203,1
83,62,53,0,0,1.8958856334780756,warrior,58.370696892493875,1
1,107,86,3,1,1.8958856334780756,warrior,1.3730700751701843,1
2,106,87,1,2,1.8958856334780756,warrior,2.7335180470451608,1
83,62,53,0,0,1.8958856334780756,warrior,58.370696892493875,2
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,5
84,63,51,0,0,1.88,warrior,58.13334186715585,5
84,62,50,1,1,1.8958856334780756,warrior,57.94558826765597,4
83,62,51,1,1,1.8958856334780756,warrior,57.82267577096436,3
84,62,51,0,1,1.88,warrior,57.74643110463118,6
84,62,51,0,1,1.88,warrior,57.74643110463118,4
79,67,51,0,1,1.88,warrior,57.69209506574262,7
84,62,51,1,0,1.88,warrior,57.65415512163853,9
84,62,51,1,0,1.88,warrior,57.65415512163853,8
84,62,51,1,0,1.88,warrior,57.65415512163853,3
84,61,51,1,1,1.88,warrior,57.26520587151203,2
79,66,51,1,1,1.88,warrior,57.25577034682818,10
85,60,49,2,2,1.88,warrior,56.64794548829249,10
106,89,0,2,1,1.88,warrior,56.4066084041924,6
112,85,0,1,0,1.88,warrior,56.31629682109512,6
83,61,52,2,0,1.8958856334780756,warrior,57.566216914964784,1
113,84,0,1,0,1.8958856334780756,warrior,56.639632248809086,1
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,1
84,63,50,0,1,1.88,warrior,57.89903809946351,1
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,2
83,62,53,0,0,1.8958856334780756,warrior,58.370696892493875,3
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,6
84,63,51,0,0,1.88,warrior,58.13334186715585,6
84,62,50,1,1,1.8958856334780756,warrior,57.94558826765597,5
84,63,50,0,1,1.88,warrior,57.89903809946351,2
83,62,51,1,1,1.8958856334780756,warrior,57.82267577096436,4
84,62,51,0,1,1.88,warrior,57.74643110463118,7
84,62,51,0,1,1.88,warrior,57.74643110463118,5
79,67,51,0,1,1.88,warrior,57.69209506574262,8
84,62,51,1,0,1.88,warrior,57.65415512163853,10
84,62,51,1,0,1.88,warrior,57.65415512163853,9
84,62,51,1,0,1.88,warrior,57.65415512163853,4
83,61,52,2,0,1.8958856334780756,warrior,57.566216914964784,2
84,61,51,1,1,1.88,warrior,57.26520587151203,3
79,66,51,1,1,1.88,warrior,57.25577034682818,11
112,83,2,1,0,1.8958856334780756,warrior,56.946804277579524,1
83,63,51,1,0,1.8958856334780756,warrior,58.2087315002147,1
83,62,50,1,2,1.88,warrior,57.071308103041176,1
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,1
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,3
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,2
83,62,53,0,0,1.8958856334780756,warrior,58.370696892493875,4
83,63,51,1,0,1.8958856334780756,warrior,58.2087315002147,2
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,7
84,63,51,0,0,1.88,warrior,58.13334186715585,7
84,62,50,1,1,1.8958856334780756,warrior,57.94558826765597,6
84,63,50,0,1,1.88,warrior,57.89903809946351,3
83,62,51,1,1,1.8958856334780756,warrior,57.82267577096436,5
84,62,51,0,1,1.88,warrior,57.74643110463118,8
84,62,51,0,1,1.88,warrior,57.74643110463118,6
79,67,51,0,1,1.88,warrior,57.69209506574262,9
84,62,51,1,0,1.88,warrior,57.65415512163853,11
84,62,51,1,0,1.88,warrior,57.65415512163853,10
