strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age,generation
17,52,54,15,30,1.66,warrior,12.95220677443927,1,10
11,30,41,60,26,1.35,warrior,10.704142311126642,1,10
14,7,43,69,35,1.36,warrior,11.831178647925084,1,10
37,58,52,8,13,1.38,warrior,18.658571570522945,1,10
2,76,33,50,7,1.65,warrior,6.74014550977139,1,10
66,30,19,19,34,1.78,warrior,20.232178925564686,1,11
57,19,28,2,62,1.95,warrior,22.65597149900404,1,11
57,16,63,22,10,1.42,warrior,20.707997039496192,1,11
50,23,80,5,10,1.42,warrior,20.69188884648446,1,11
39,15,44,31,39,1.79,warrior,19.895940967193873,1,11
40,50,7,47,24,1.84,warrior,20.80759722578679,1,11
41,8,67,39,13,1.74,warrior,19.531006446601612,1,11
38,14,50,46,20,1.49,warrior,19.26477777289559,1,11
30,48,44,26,20,1.48,warrior,17.50254504652358,1,11
42,33,65,11,17,1.38,warrior,19.418598014706667,1,11
29,6,88,18,27,1.55,warrior,16.881485454007457,1,11
28,62,23,25,30,1.91,warrior,18.05175108280558,1,11
32,61,18,8,49,1.83,warrior,18.799252891568464,1,11
77,12,67,7,5,1.39,warrior,17.407663876506803,1,11
62,37,38,10,21,1.66,warrior,19.22133649276648,1,11
36,20,58,13,41,1.76,warrior,18.91411545896119,1,11
15,7,42,69,35,1.36,warrior,12.204121922516642,1,11
14,5,55,78,16,1.34,warrior,11.804438658955174,1,11
11,73,31,47,6,1.65,warrior,10.653646116839816,1,11
2,31,43,65,27,1.35,warrior,7.008415297594646,1,11
57,19,28,2,62,1.84,warrior,22.135252941315102,1,12
40,50,7,47,24,1.95,warrior,21.219323679476208,1,12
57,16,63,22,10,1.42,warrior,20.707997039496192,1,12
50,23,80,5,10,1.42,warrior,20.69188884648446,1,12
90,23,15,14,26,1.79,warrior,14.373552764966135,1,12
39,15,44,31,39,1.78,warrior,19.75166231221165,1,12
49,9,62,36,12,1.38,warrior,20.017075280976407,1,12
25,86,39,6,12,1.74,warrior,15.869192100026584,1,12
39,14,50,45,20,1.66,warrior,18.635618203538733,1,12
62,37,39,10,20,1.49,warrior,20.281224733386942,1,12
34,20,55,12,47,1.83,warrior,19.33995401180797,1,12
34,64,18,9,43,1.76,warrior,18.482959615685086,1,12
29,65,24,28,22,1.48,warrior,17.22579123108341,1,12
30,45,41,24,28,1.91,warrior,18.740825326050313,1,12
95,5,44,9,15,1.55,warrior,11.749400328678526,1,12
41,16,95,9,7,1.39,warrior,19.48218518545127,1,12
15,8,54,76,15,1.34,warrior,12.142886023573041,1,12
15,5,42,70,36,1.36,warrior,12.204121922516642,1,12
8,56,32,51,21,1.35,warrior,9.527620396667803,1,12
3,44,46,67,8,1.65,warrior,7.199384248205407,1,12
52,46,6,42,22,1.55,warrior,20.105812005184788,1,13
44,21,32,3,68,1.84,warrior,21.454147838115404,1,13
57,16,80,5,10,1.42,warrior,20.707997039496192,1,13
37,17,91,16,7,1.42,warrior,19.148512854599655,1,13
57,8,58,33,12,1.38,warrior,20.035808366651903,1,13
53,41,42,10,22,1.49,warrior,20.674607486936534,1,13
39,16,97,9,7,1.39,warrior,19.1798380418075,1,13
41,14,44,30,39,1.78,warrior,20.082758075513357,1,13
39,23,46,27,33,1.91,warrior,21.211437080161744,1,13
28,45,52,13,30,1.83,warrior,17.5750504776018,1,13
53,20,24,13,58,1.76,warrior,20.720346608828457,1,13
27,52,39,35,15,1.66,warrior,16.113937168465057,1,13
28,84,39,6,11,1.74,warrior,16.762854878594528,1,13
26,67,24,29,22,1.48,warrior,16.33195508177045,1,13
36,10,6,28,88,1.36,warrior,18.014926961396434,1,13
24,8,70,24,42,1.79,warrior,15.880863304533976,1,13
32,19,67,19,31,1.55,warrior,17.62668594359429,1,13
67,4,31,55,11,1.34,warrior,17.51558465879831,1,13
5,40,23,86,14,1.65,warrior,8.10072907047321,1,13
3,62,40,56,7,1.35,warrior,7.442437624498185,1,13
44,21,32,3,68,1.91,warrior,22.121874809347954,1,14
39,23,46,27,33,1.84,warrior,20.614001352936896,1,14
54,16,82,5,11,1.42,warrior,20.770226645584597,1,14
56,21,23,12,56,1.76,warrior,20.691405696210705,1,14
52,46,6,41,23,1.55,warrior,20.105812005184788,1,14
52,41,42,10,23,1.49,warrior,20.6617044978488,1,14
44,15,61,35,13,1.38,warrior,19.64526644567296,1,14
54,7,41,28,38,1.78,warrior,21.072859837126988,1,14
38,17,92,15,6,1.42,warrior,19.336855848006365,1,14
38,16,98,9,7,1.39,warrior,19.011888872550237,1,14
35,18,65,19,31,1.55,warrior,18.277547311057283,1,14
20,68,4,19,57,1.36,warrior,13.948824222022637,1,14
24,39,46,49,10,1.34,warrior,14.845218988658972,1,14
77,6,35,16,34,1.83,warrior,19.007060894988406,1,14
27,67,23,29,22,1.48,warrior,16.64037602324612,1,14
26,85,39,7,11,1.74,warrior,16.17717406431992,1,14
23,44,34,31,36,1.71,warrior,15.085496737426695,1,14
28,9,84,28,19,1.66,warrior,16.37932226561622,1,14
5,46,45,64,8,1.35,warrior,8.294058763301495,1,14
2,56,21,76,13,1.65,warrior,6.74014550977139,1,14
42,20,41,28,37,1.78,warrior,20.2305300672803,1,15
56,7,32,4,69,1.91,warrior,22.929915386686,1,15
42,12,66,3,45,1.76,warrior,19.93444998282156,1,15
76,30,31,16,15,1.42,warrior,18.05738932498383,1,15
43,36,38,23,28,1.84,warrior,21.31176087052003,1,15
47,29,52,12,28,1.49,warrior,20.423778917657287,1,15
52,46,6,41,23,1.38,warrior,20.106657373824703,1,15
44,15,61,35,13,1.55,warrior,19.644510420006192,1,15
38,16,93,15,6,1.39,warrior,19.011888872550237,1,15
38,17,98,9,6,1.42,warrior,19.336855848006365,1,15
66,5,55,16,26,1.55,warrior,19.235852803935412,1,15
44,16,45,19,44,1.83,warrior,21.301294462445547,1,15
27,67,23,29,22,1.66,warrior,16.113937168465057,1,15
28,9,84,28,19,1.48,warrior,16.938362457028653,1,15
26,85,39,7,11,1.71,warrior,16.001680143834882,1,15
23,44,34,31,36,1.74,warrior,15.22359923223001,1,15
29,46,5,22,66,1.36,warrior,16.538478987049157,1,15
17,60,40,42,9,1.34,warrior,12.797881640998972,1,15
5,42,41,69,11,1.65,warrior,8.10072907047321,1,15
2,63,23,72,8,1.35,warrior,7.008415297594646,1,15
64,9,37,26,32,1.84,warrior,21.621904504511125,1,16
39,31,33,3,62,1.91,warrior,21.211437080161744,1,16
44,16,45,19,44,1.49,warrior,20.141653290669627,1,16
47,29,52,12,28,1.83,warrior,21.643247482958152,1,16
46,48,6,44,24,1.38,warrior,19.82742236646571,1,16
42,17,33,23,53,1.78,warrior,20.2305300672803,1,16
42,12,66,35,13,1.55,warrior,19.41787164724522,1,16
44,15,61,3,45,1.76,warrior,20.182181091284097,1,16
33,15,87,9,24,1.55,warrior,17.85424117569916,1,16
48,3,40,14,63,1.42,warrior,20.582871381567738,1,16
35,15,88,15,15,1.42,warrior,18.737668819024314,1,16
80,32,32,18,6,1.39,warrior,16.655046314426713,1,16
13,4,36,88,27,1.36,warrior,11.45061836576453,1,16
41,63,6,30,28,1.48,warrior,19.81490729682623,1,16
49,72,33,4,10,1.71,warrior,19.925602249736443,1,16
26,67,23,29,23,1.66,warrior,15.83893472108539,1,16
25,49,39,46,9,1.34,warrior,15.104776357365616,1,16
15,54,39,28,32,1.74,warrior,12.267804970721777,1,16
5,89,26,43,5,1.35,warrior,8.294058763301495,1,16
2,39,15,104,8,1.65,warrior,6.74014550977139,1,16
47,29,52,12,28,1.84,warrior,21.80398676271661,1,17
39,6,23,79,21,1.83,warrior,20.4772387664511,1,17
9,3,53,18,85,1.42,warrior,9.633571375785925,1,17
45,30,32,3,58,1.91,warrior,22.263513622997475,1,17
25,9,36,2,96,1.76,warrior,16.002198769500716,1,17
43,16,33,23,53,1.78,warrior,20.36640330155263,1,17
44,16,45,19,44,1.71,warrior,19.560658086455486,1,17
49,72,33,4,10,1.49,warrior,20.553736313047505,1,17
44,61,5,29,29,1.48,warrior,20.205315831230727,1,17
42,50,7,45,24,1.38,warrior,19.418598014706667,1,17
40,15,85,14,14,1.42,warrior,19.67908163461743,1,17
36,13,69,37,13,1.55,warrior,18.473140426611103,1,17
45,44,46,24,9,1.39,warrior,19.95163876281131,1,17
64,11,67,7,19,1.55,warrior,19.485689220155425,1,17
16,33,26,32,61,1.34,warrior,12.474084364644735,1,17
25,67,24,29,23,1.66,warrior,15.55443267657795,1,17
15,54,39,28,32,1.36,warrior,12.204121922516642,1,17
13,4,36,88,27,1.74,warrior,11.442008270384099,1,17
3,67,12,79,7,1.65,warrior,7.199384248205407,1,17
2,29,19,32,86,1.35,warrior,7.008415297594646,1,17
46,30,52,12,28,1.84,warrior,21.700272254359252,1,18
47,30,31,2,58,1.39,warrior,20.11839142841897,1,18
33,47,23,52,13,1.83,warrior,19.075642887617523,1,18
79,13,47,8,21,1.49,warrior,17.22751377847215,1,18
49,18,37,32,32,1.48,warrior,20.622564093368755,1,18
39,56,5,21,47,1.54,warrior,19.07109917084508,1,18
43,42,44,23,16,1.42,warrior,20.10556495421226,1,18
41,15,87,14,11,1.39,warrior,19.48218518545127,1,18
49,17,73,8,21,1.55,warrior,20.016257915410243,1,18
59,10,41,17,41,1.71,warrior,19.83253065175181,1,18
40,12,67,36,13,1.55,warrior,19.146895618154698,1,18
38,51,8,46,25,1.38,warrior,18.83251705163203,1,18
25,67,24,29,23,1.66,warrior,15.55443267657795,1,18
25,9,36,2,96,1.76,warrior,16.002198769500716,1,18
21,41,32,35,39,1.36,warrior,14.272663198468397,1,18
12,45,34,27,50,1.34,warrior,11.106421317512662,1,18
13,3,51,18,83,1.42,warrior,11.438624584672866,1,18
9,4,36,91,28,1.74,warrior,9.69623422896596,1,18
2,56,11,26,73,1.35,warrior,7.008415297594646,1,18
3,36,23,97,9,1.65,warrior,7.199384248205407,1,18
46,30,52,12,28,1.48,warrior,20.407277095105744,1,19
49,18,37,32,32,1.84,warrior,21.972719683617413,1,19
47,30,31,2,58,1.42,warrior,20.510820074296234,1,19
43,42,44,23,16,1.39,warrior,19.739528746863346,1,19
41,16,62,15,34,1.71,warrior,19.20911378782722,1,19
71,12,50,10,25,1.55,warrior,18.43959413438408,1,19
41,13,66,36,12,1.55,warrior,19.287910947701796,1,19
40,16,87,14,11,1.39,warrior,19.336618555990704,1,19
36,51,5,23,53,1.54,warrior,18.54302219465475,1,19
35,52,22,48,11,1.83,warrior,19.592090976824736,1,19
51,18,62,10,27,1.49,warrior,20.63728027873128,1,19
64,41,7,36,20,1.38,warrior,19.486581682683305,1,19
36,13,53,4,62,1.66,warrior,18.143836875412806,1,19
17,47,16,20,68,1.76,warrior,13.10588316924985,1,19
18,35,28,16,71,1.42,warrior,13.509481086703303,1,19
16,3,60,42,47,1.36,warrior,12.569280009885727,1,19
12,45,34,27,50,1.74,warrior,11.01705324189718,1,19
9,4,36,91,28,1.34,warrior,10.00900962512135,1,19
3,41,12,30,82,1.35,warrior,7.442437624498185,1,19
60,33,13,56,6,1.65,warrior,19.364657929137547,1,19
62,22,47,5,32,1.49,warrior,20.281224733386942,1,20
49,17,61,10,31,1.84,warrior,21.972719683617413,1,20
47,30,31,2,58,1.48,warrior,20.490725891334122,1,20
46,30,52,12,28,1.42,warrior,20.427061192740368,1,20
38,38,40,43,9,1.83,warrior,20.2746097907488,1,20
40,59,25,26,18,1.39,warrior,19.336618555990704,1,20
62,34,13,54,5,1.65,warrior,19.194919224692022,1,20
61,43,7,36,21,1.38,warrior,19.784876384044157,1,20
40,16,87,14,11,1.55,warrior,19.146895618154698,1,20
41,13,66,36,12,1.39,warrior,19.48218518545127,1,20
49,20,6,29,64,1.54,warrior,20.108376239640776,1,20
31,43,52,13,29,1.71,warrior,17.331846267200035,1,20
59,10,45,3,51,1.66,warrior,19.460567024794976,1,20
50,16,60,12,30,1.55,warrior,20.05720197318945,1,20
18,35,28,16,71,1.44,warrior,13.526662972609119,1,20
17,47,16,20,68,1.42,warrior,13.11279531287694,1,20
16,3,60,42,47,1.74,warrior,12.668279926101288,1,20
12,45,34,27,50,1.36,warrior,11.062612635386502,1,20
5,3,89,55,16,1.35,warrior,8.294058763301495,1,20
3,41,12,30,82,1.34,warrior,7.649548908110592,1,20
52,19,33,2,62,1.48,warrior,20.732890328824524,1,21
44,28,58,9,29,1.84,warrior,21.454147838115404,1,21
50,24,52,6,36,1.49,warrior,20.601300201106703,1,21
57,27,48,10,26,1.42,warrior,20.707997039496192,1,21
42,43,44,29,10,1.54,warrior,19.499734348701885,1,21
49,20,6,29,64,1.83,warrior,21.807464598456793,1,21
39,12,74,27,16,1.38,warrior,18.99553989081787,1,21
49,36,49,9,25,1.55,warrior,20.016257915410243,1,21
45,14,50,3,56,1.66,warrior,19.332339315058388,1,21
55,9,60,33,11,1.39,warrior,20.333065447794855,1,21
46,39,15,63,5,1.65,warrior,19.387737794006288,1,21
56,52,22,22,16,1.39,warrior,20.30949151772502,1,21
40,16,87,14,11,1.71,warrior,19.069944454491836,1,21
