strength,dexterity,intelligence,vigor,constitution,height,character,fitness,generation
26,0,68,103,3,1.9,warrior,10.288685368856417,15
26,0,68,103,3,1.9,warrior,10.288685368856417,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,68,103,3,1.9,warrior,10.288685368856417,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,68,103,3,1.9,warrior,10.288685368856417,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,70,104,0,1.9,warrior,9.405153901102489,15
27,0,71,100,2,1.9,warrior,10.573896858669142,15
27,0,69,104,0,1.9,warrior,9.6471783631452,15
27,0,71,100,2,1.9,warrior,10.573896858669142,15
26,0,72,102,0,1.9,warrior,9.600324762939566,16
26,0,68,103,3,1.9,warrior,10.288685368856417,16
26,0,68,103,3,1.9,warrior,10.288685368856417,16
26,0,72,102,0,1.9,warrior,9.600324762939566,16
26,0,72,102,0,1.9,warrior,9.600324762939566,16
26,0,72,102,0,1.9,warrior,9.600324762939566,16
26,0,70,104,0,1.9,warrior,9.405153901102489,16
27,0,71,100,2,1.9,warrior,10.573896858669142,16
26,0,72,102,0,1.9,warrior,9.600324762939566,16
26,0,68,103,3,1.9,warrior,10.288685368856417,16
26,0,72,102,0,1.9,warrior,9.600324762939566,16
26,0,72,102,0,1.9,warrior,9.600324762939566,16
26,0,68,103,3,1.9,warrior,10.288685368856417,16
26,0,68,103,3,1.9,warrior,10.288685368856417,16
26,0,72,102,0,1.9,warrior,9.600324762939566,16
26,0,72,102,0,1.9,warrior,9.600324762939566,16
25,0,71,103,1,1.9,warrior,9.517844197624843,16
26,0,70,104,0,1.9,warrior,9.405153901102489,16
26,0,70,101,3,1.9,warrior,10.488211786290433,16
28,0,70,102,0,1.9,warrior,10.093430492387107,16
26,0,68,103,3,1.9,warrior,10.288685368856417,17
26,0,72,102,0,1.9,warrior,9.600324762939566,17
26,0,72,102,0,1.9,warrior,9.600324762939566,17
25,0,71,103,1,1.9,warrior,9.517844197624843,17
26,0,70,104,0,1.9,warrior,9.405153901102489,17
26,0,68,103,3,1.9,warrior,10.288685368856417,17
26,0,72,102,0,1.9,warrior,9.600324762939566,17
27,0,71,100,2,1.9,warrior,10.573896858669142,17
26,0,68,103,3,1.9,warrior,10.288685368856417,17
26,0,68,103,3,1.9,warrior,10.288685368856417,17
28,0,70,102,0,1.9,warrior,10.093430492387107,17
26,0,68,103,3,1.9,warrior,10.288685368856417,17
26,0,72,102,0,1.9,warrior,9.600324762939566,17
26,0,72,102,0,1.9,warrior,9.600324762939566,17
26,0,72,102,0,1.9,warrior,9.600324762939566,17
26,0,72,102,0,1.9,warrior,9.600324762939566,17
26,0,72,102,0,1.9,warrior,9.600324762939566,17
26,0,68,103,3,1.9,warrior,10.288685368856417,17
26,0,68,103,3,1.9,warrior,10.288685368856417,17
26,0,70,104,0,1.9,warrior,9.405153901102489,17
26,0,68,103,3,1.9,warrior,10.288685368856417,18
27,0,71,100,2,1.9,warrior,10.573896858669142,18
26,0,72,102,0,1.9,warrior,9.600324762939566,18
26,0,72,102,0,1.9,warrior,9.600324762939566,18
26,0,72,102,0,1.9,warrior,9.600324762939566,18
26,0,68,103,3,1.9,warrior,10.288685368856417,18
26,0,70,104,0,1.9,warrior,9.405153901102489,18
26,0,68,103,3,1.9,warrior,10.288685368856417,18
26,0,68,103,3,1.9,warrior,10.288685368856417,18
26,0,68,103,3,1.9,warrior,10.288685368856417,18
26,0,72,102,0,1.9,warrior,9.600324762939566,18
25,0,71,103,1,1.9,warrior,9.517844197624843,18
26,0,68,103,3,1.9,warrior,10.288685368856417,18
26,0,72,102,0,1.9,warrior,9.600324762939566,18
26,0,72,102,0,1.9,warrior,9.600324762939566,18
26,0,70,104,0,1.9,warrior,9.405153901102489,18
26,0,72,102,0,1.9,warrior,9.600324762939566,18
28,0,70,102,0,1.9,warrior,10.093430492387107,18
27,0,70,103,0,1.9,warrior,9.750199400520557,18
27,1,71,101,0,1.9,warrior,10.120855260021614,18
26,0,68,103,3,1.9,warrior,10.288685368856417,19
26,0,72,102,0,1.9,warrior,9.600324762939566,19
27,1,71,101,0,1.9,warrior,10.120855260021614,19
26,0,72,102,0,1.9,warrior,9.600324762939566,19
26,0,72,102,0,1.9,warrior,9.600324762939566,19
26,0,72,102,0,1.9,warrior,9.600324762939566,19
26,0,68,103,3,1.9,warrior,10.288685368856417,19
28,0,70,102,0,1.9,warrior,10.093430492387107,19
27,0,71,100,2,1.9,warrior,10.573896858669142,19
27,0,70,103,0,1.9,warrior,9.750199400520557,19
26,0,72,102,0,1.9,warrior,9.600324762939566,19
26,0,68,103,3,1.9,warrior,10.288685368856417,19
26,0,68,103,3,1.9,warrior,10.288685368856417,19
26,0,72,102,0,1.9,warrior,9.600324762939566,19
26,0,72,102,0,1.9,warrior,9.600324762939566,19
28,0,70,102,0,1.9,warrior,10.093430492387107,19
26,1,71,100,2,1.9,warrior,10.484606935109895,19
27,0,69,104,0,1.9,warrior,9.6471783631452,19
25,0,71,103,1,1.9,warrior,9.517844197624843,19
28,0,70,102,0,1.9,warrior,10.093430492387107,19
27,0,70,103,0,1.9,warrior,9.750199400520557,20
27,0,69,104,0,1.9,warrior,9.6471783631452,20
27,0,70,103,0,1.9,warrior,9.750199400520557,20
26,0,72,102,0,1.9,warrior,9.600324762939566,20
26,0,72,102,0,1.9,warrior,9.600324762939566,20
26,1,71,100,2,1.9,warrior,10.484606935109895,20
27,0,71,100,2,1.9,warrior,10.573896858669142,20
27,1,71,101,0,1.9,warrior,10.120855260021614,20
26,0,72,102,0,1.9,warrior,9.600324762939566,20
27,0,69,104,0,1.9,warrior,9.6471783631452,20
27,0,70,103,0,1.9,warrior,9.750199400520557,20
26,0,68,103,3,1.9,warrior,10.288685368856417,20
27,1,71,101,0,1.9,warrior,10.120855260021614,20
26,0,72,102,0,1.9,warrior,9.600324762939566,20
26,0,68,103,3,1.9,warrior,10.288685368856417,20
26,0,68,103,3,1.9,warrior,10.288685368856417,20
26,0,72,102,0,1.9,warrior,9.600324762939566,20
26,0,68,103,3,1.9,warrior,10.288685368856417,20
27,1,71,101,0,1.9,warrior,10.120855260021614,20
26,0,72,102,0,1.9,warrior,9.600324762939566,20
26,0,68,103,3,1.9,warrior,10.288685368856417,21
26,0,72,102,0,1.9,warrior,9.600324762939566,21
26,1,71,100,2,1.9,warrior,10.484606935109895,21
26,0,72,102,0,1.9,warrior,9.600324762939566,21
26,0,68,103,3,1.9,warrior,10.288685368856417,21
26,0,72,102,0,1.9,warrior,9.600324762939566,21
26,0,72,102,0,1.9,warrior,9.600324762939566,21
26,1,71,100,2,1.9,warrior,10.484606935109895,21
27,1,71,101,0,1.9,warrior,10.120855260021614,21
27,0,70,103,0,1.9,warrior,9.750199400520557,21
27,1,71,101,0,1.9,warrior,10.120855260021614,21
26,0,68,103,3,1.9,warrior,10.288685368856417,21
26,1,71,100,2,1.9,warrior,10.484606935109895,21
27,1,71,101,0,1.9,warrior,10.120855260021614,21
27,0,70,103,0,1.9,warrior,9.750199400520557,21
26,0,72,102,0,1.9,warrior,9.600324762939566,21
26,0,72,102,0,1.9,warrior,9.600324762939566,21
27,1,71,101,0,1.9,warrior,10.120855260021614,21
26,1,72,101,0,1.9,warrior,9.859682303292816,21
26,0,71,101,2,1.9,warrior,10.227916804407805,21
26,0,68,103,3,1.9,warrior,10.288685368856417,22
27,1,71,101,0,1.9,warrior,10.120855260021614,22
26,0,72,102,0,1.9,warrior,9.600324762939566,22
26,0,68,103,3,1.9,warrior,10.288685368856417,22
27,1,71,101,0,1.9,warrior,10.120855260021614,22
26,0,72,102,0,1.9,warrior,9.600324762939566,22
26,0,68,103,3,1.9,warrior,10.288685368856417,22
26,1,71,100,2,1.9,warrior,10.484606935109895,22
27,1,71,101,0,1.9,warrior,10.120855260021614,22
27,0,70,103,0,1.9,warrior,9.750199400520557,22
26,0,72,102,0,1.9,warrior,9.600324762939566,22
27,1,71,101,0,1.9,warrior,10.120855260021614,22
26,0,72,102,0,1.9,warrior,9.600324762939566,22
27,0,70,103,0,1.9,warrior,9.750199400520557,22
27,1,71,101,0,1.9,warrior,10.120855260021614,22
26,0,72,102,0,1.9,warrior,9.600324762939566,22
28,0,71,101,0,1.9,warrior,10.198796823267749,22
26,0,72,101,1,1.9,warrior,9.963848513857881,22
26,1,72,101,0,1.9,warrior,9.859682303292816,22
27,1,71,101,0,1.9,warrior,10.120855260021614,22
