Pokeball,Pokemon,Probability,Current HP
pokeball,caterpie,0.42000798911997755,110
pokeball,caterpie,0.3072768086752453,110
pokeball,caterpie,0.28969834262249355,110
pokeball,caterpie,0.31514470875428197,110
pokeball,caterpie,0.3113605902963121,110
pokeball,caterpie,0.24346213341472442,110
pokeball,caterpie,0.3050838810536804,110
pokeball,caterpie,0.34564496580956794,110
pokeball,caterpie,0.3389175927643944,110
pokeball,caterpie,0.29051758068054406,110
pokeball,caterpie,0.3655697727987836,110
pokeball,caterpie,0.3799550230549607,110
pokeball,caterpie,0.39282619419551906,110
pokeball,caterpie,0.31594347647405147,110
pokeball,caterpie,0.27879332376502663,110
pokeball,caterpie,0.3420436311030813,110
pokeball,caterpie,0.29602383557628437,110
pokeball,caterpie,0.24160627907640075,110
pokeball,caterpie,0.3455628875808069,110
pokeball,caterpie,0.2716931180549428,110
pokeball,caterpie,0.2867197133268606,110
pokeball,caterpie,0.3844305703491965,110
pokeball,caterpie,0.35701114299173053,110
pokeball,caterpie,0.3473902630284396,110
pokeball,caterpie,0.4558352609566028,110
pokeball,caterpie,0.3304698484025291,110
pokeball,caterpie,0.41785487641287544,110
pokeball,caterpie,0.2961621956883119,110
pokeball,caterpie,0.31574468519577664,110
pokeball,caterpie,0.34342868671519705,110
pokeball,caterpie,0.3131360613005078,110
pokeball,caterpie,0.4352104069323047,110
pokeball,caterpie,0.29629117195189963,110
pokeball,caterpie,0.3078742492379032,110
pokeball,caterpie,0.33170818609056196,110
pokeball,caterpie,0.35008780572395015,110
pokeball,caterpie,0.33442085881651085,110
pokeball,caterpie,0.35739458137674185,110
pokeball,caterpie,0.3570820201837807,110
pokeball,caterpie,0.2898723318986442,110
pokeball,caterpie,0.39378018122458114,110
pokeball,caterpie,0.4087449208023546,110
pokeball,caterpie,0.39585524894441665,110
pokeball,caterpie,0.28026244209251705,110
pokeball,caterpie,0.2559991078360421,110
pokeball,caterpie,0.30291564092601364,110
pokeball,caterpie,0.2645451679860266,110
pokeball,caterpie,0.32846016306523,110
pokeball,caterpie,0.3503366588915766,110
pokeball,caterpie,0.2766972209242496,110
pokeball,caterpie,0.282333460840869,110
pokeball,caterpie,0.3294857355821167,110
pokeball,caterpie,0.30996096143869306,110
pokeball,caterpie,0.34789916739330806,110
pokeball,caterpie,0.3021744277505637,110
pokeball,caterpie,0.31101550530938066,110
pokeball,caterpie,0.32353510559587584,110
pokeball,caterpie,0.3883880535192247,110
pokeball,caterpie,0.35398679835175223,110
pokeball,caterpie,0.3113443624269205,110
pokeball,caterpie,0.28498714484528537,110
pokeball,caterpie,0.34575831196129886,110
pokeball,caterpie,0.2635605680814008,110
pokeball,caterpie,0.35994241895780177,110
pokeball,caterpie,0.3702866147851444,110
pokeball,caterpie,0.4275942616892501,110
pokeball,caterpie,0.22034138282084967,110
pokeball,caterpie,0.3010722792489908,110
pokeball,caterpie,0.3203882164957034,110
pokeball,caterpie,0.36987704382937825,110
pokeball,caterpie,0.37070271860876225,110
pokeball,caterpie,0.3672637574692337,110
pokeball,caterpie,0.327713786717759,110
pokeball,caterpie,0.33199700806919835,110
pokeball,caterpie,0.38714599321980203,110
pokeball,caterpie,0.31601185459348574,110
pokeball,caterpie,0.353763370208229,110
pokeball,caterpie,0.2631700714567712,110
pokeball,caterpie,0.3432450269803878,110
pokeball,caterpie,0.317995632210437,110
pokeball,caterpie,0.30431934977359704,110
pokeball,caterpie,0.3819503628006944,110
pokeball,caterpie,0.3457794996965877,110
pokeball,caterpie,0.4063507403899736,110
pokeball,caterpie,0.3368497037847875,110
pokeball,caterpie,0.35913148530013966,110
pokeball,caterpie,0.29887995951424406,110
pokeball,caterpie,0.21578059766399751,110
pokeball,caterpie,0.3332240596829558,110
pokeball,caterpie,0.3311610211560972,110
pokeball,caterpie,0.2784079153669137,110
pokeball,caterpie,0.32601382218059943,110
pokeball,caterpie,0.3416021500904237,110
pokeball,caterpie,0.29960842749860217,110
pokeball,caterpie,0.39102097777113926,110
pokeball,caterpie,0.3635073323118751,110
pokeball,caterpie,0.361658121179024,110
pokeball,caterpie,0.2919037383986973,110
pokeball,caterpie,0.3484955603745411,110
pokeball,caterpie,0.354199069722342,110
pokeball,caterpie,0.394652148689858,110
pokeball,caterpie,0.30681123281358574,110
pokeball,caterpie,0.33354444031181846,110
pokeball,caterpie,0.3291717828255789,110
pokeball,caterpie,0.38623237968903723,110
pokeball,caterpie,0.34455529370642113,110
pokeball,caterpie,0.30509938530993846,110
pokeball,caterpie,0.39740676093165944,110
pokeball,caterpie,0.2855344853609278,110
pokeball,caterpie,0.2156004462296331,110
pokeball,caterpie,0.2947329671268972,110
pokeball,caterpie,0.39425317378851776,110
